fid,cat,field_1,stream,channel_type,latitude,longitude,max_depth_m,lwd_total,total_shade,undercut_bank_m,dominant_substrate,river_m
"92","92","93",Mahogany Creek,mid-channel,41.5329050302559,-118.992458361321,0.21,"1","72",1.5,sand,8075.29024164787
"93","93","94",Mahogany Creek,riffle,41.5329506629182,-118.992423802436,0.21,"1","85",0,sand,8079.16274319098
"94","94","95",Mahogany Creek,mid-channel,41.5329508705611,-118.99241182223,0.22,"0","81",0,sand,8080.15729432972
"95","95","96",Mahogany Creek,riffle,41.5329717813235,-118.99224465197,0.12,"3","87",11,sand,8094.44050234548
"96","96","97",Mahogany Creek,scour_pool,41.532837790231,-118.992180606297,0.37,"0","87",8,sand,8096.75254754858
"97","97","98",Mahogany Creek,riffle,41.5328197863372,-118.992180053684,0.21,"5","84",9,sand,8096.39745540058
"98","98","99",Mahogany Creek,mid-channel,41.5329438699524,-118.99177631864,0.2,"2","81",3,sand,8131.8176541977
"99","99","100",Mahogany Creek,mid-channel,41.5325881493118,-118.988912611862,0.08,"0","81",5,sand,8402.12706833619
"100","100","101",Mahogany Creek,riffle,41.5326321227388,-118.988973891982,0.04,"0","89",0.29,gravel,8398.49775435951
"101","101","102",Mahogany Creek,mid-channel,41.532715213193,-118.988856572853,0.09,"2","90",0.5,sand,8410.68168476299
"102","102","103",Mahogany Creek,riffle,41.5327503919592,-118.988905597012,0.07,"2","68",2,sand,8407.77812089989
"103","103","104",Mahogany Creek,scour_pool,41.5328244803832,-118.988788001748,0.14,"0","97",1.9,sand,8419.70308692121
"104","104","105",Mahogany Creek,riffle,41.5327520501289,-118.988809755452,0.08,"1","98",7.3,sand,8415.65894689481
"105","105","106",Mahogany Creek,scour_pool,41.5326078114135,-118.988817322219,0.13,"2","96",3,sand,8410.52620670282
"106","106","107",Mahogany Creek,riffle,41.5325718035507,-118.988816218867,0.05,"1","92",22.5,sand,8409.4892343153
"107","107","108",Mahogany Creek,scour_pool,41.5325376610304,-118.988707294112,0.17,"1","92",5.5,sand,8417.31823410488
"108","108","109",Mahogany Creek,riffle,41.5325376610304,-118.988707294112,0.09,"0","89",9.5,sand,8417.31823410488
"109","109","110",Mahogany Creek,scour_pool,41.5325372465185,-118.988731254425,0.13,"0","93",0.79,sand,8415.34807604394
"110","110","111",Mahogany Creek,run,41.5326025400404,-118.988601403353,0.13,"0","85",3.91,sand,8427.99866540135
"111","111","112",Mahogany Creek,riffle,41.5326121637336,-118.988565738648,0.09,"2","89",15,sand,8431.21318998973
"112","112","113",Mahogany Creek,scour_pool,41.5327781364994,-118.988343079285,0.13,"1","89",2.2,sand,8454.59618482962
"113","113","114",Mahogany Creek,riffle,41.5327873456845,-118.988331374854,0.07,"0","87",6,sand,8455.84055975319
"114","114","115",Mahogany Creek,riffle,41.5328810950715,-118.988118488571,0.07,"0","87",6,sand,8480.28462440942
"115","115","116",Mahogany Creek,run,41.532833806012,-118.98824889222,0.09,"0","79",1.5,sand,8467.83091923874
"116","116","117",Mahogany Creek,riffle,41.5328258400683,-118.988188715392,0.06,"0","89",5,sand,8472.20789594608
"117","117","118",Mahogany Creek,scour_pool,41.5328632983273,-118.988105956862,0.18,"1","82",2,sand,8480.45408014891
"118","118","119",Mahogany Creek,riffle,41.5328817166501,-118.988082547897,0.18,"0","91",4,sand,8483.14631274047
"119","119","120",Summer Camp Creek,riffle,41.5300212543119,-118.988390474899,0.12,"0","76",4.5,sand,231.948421022387
"120","120","121",Summer Camp Creek,scour_pool,41.5300305775668,-118.987851388514,0.26,"1","94",1,sand,265.536673702287
"121","121","122",Summer Camp Creek,riffle,41.5300496172787,-118.987792041354,0.11,"4","84",15,sand,267.821956935236
"122","122","123",Summer Camp Creek,scour_pool,41.5298812725646,-118.987631067864,0.21,"0","83",1.9,sand,289.418488716591
"123","123","124",Summer Camp Creek,riffle,41.5298362626823,-118.987629689629,0.11,"4","90",18,sand,292.056287934085
"124","124","125",Summer Camp Creek,mid-channel,41.5296233220504,-118.987443379734,0.15,"4","88",3.2,sand,318.124028299756
"125","125","126",Summer Camp Creek,riffle,41.5296509493126,-118.987408267691,0.09,"3","85",4.2,sand,319.222781331572
"126","126","127",Summer Camp Creek,mid-channel,41.5296073891433,-118.987323032242,0.26,"1","92",1,sand,328.117038425846
"127","127","128",Summer Camp Creek,riffle,41.529571381229,-118.987321929835,0.07,"0","95",1.2,sand,330.227155512202
"128","128","129",Summer Camp Creek,scour_pool,41.5295449965821,-118.987285164186,0.16,"1","86",0,sand,334.491177192296
"129","129","130",Summer Camp Creek,riffle,41.5295156933667,-118.988458890077,0.07,"2","88",1.5,sand,267.235619564443
"130","130","131",Summer Camp Creek,run,41.5295625863481,-118.987309674615,0.2,"1","94",2.5,sand,331.648507564481
"131","131","132",Summer Camp Creek,riffle,41.5295630005397,-118.987285715379,0.08,"1","84",4,sand,333.436111827116
"132","132","133",Summer Camp Creek,plunge_pool,41.5296266356705,-118.987251705668,0.21,"1","84",1,sand,332.424606519409
"133","133","134",Summer Camp Creek,riffle,41.5295370300595,-118.987224990523,0.14,"7","78",9.5,sand,339.487666311611
"134","134","135",Summer Camp Creek,mid-channel,41.5293456126495,-118.986835581084,0.18,"2","74",3.05,sand,379.694723386928
"135","135","136",Summer Camp Creek,riffle,41.529283012868,-118.986809693223,0.09,"3","76",6.5,sand,385.175103266532
"136","136","137",Summer Camp Creek,scour_pool,41.5293474760202,-118.986727764847,0.17,"0","91",1.7,sand,387.738796809279
"137","137","138",Summer Camp Creek,run,41.5292492823445,-118.986676815909,0.03,"2","100",7,sand,397.116894601656
"138","138","139",Summer Camp Creek,scour_pool,41.5292226904534,-118.986652030263,0.13,"1","90",1.3,sand,400.487120509641
"139","139","140",Summer Camp Creek,scour_pool,41.5045984842512,-118.9798482952,0.23,"0","97",0,sand,3408.22022420814
"140","140","141",Summer Camp Creek,riffle,41.504580480134,-118.979847746551,0.11,"1","80",0,sand,3409.86763060521
"141","141","142",Summer Camp Creek,rapid,41.5045371195509,-118.979750574461,0.13,"4","72",0,sand,3418.95777696926
"142","142","143",Summer Camp Creek,riffle,41.5042754412015,-118.979778544532,0.1,"4","95",8,gravel,3440.98215879622
"143","143","144",Summer Camp Creek,scour_pool,41.5041424723423,-118.97965468,0.17,"0","88",1.25,sand,3459.55252313208
"144","144","145",Summer Camp Creek,riffle,41.5041962785058,-118.979668300761,0.13,"0","87",0.5,sand,3453.98865944011
"145","145","146",Summer Camp Creek,mid-channel,41.5040505959188,-118.979759711797,0.19,"1","90",0,sand,3462.19718453296
"146","146","147",Summer Camp Creek,rapid,41.5040874289804,-118.979712909123,0.11,"2","85",0.5,sand,3461.38788757261
"147","147","148",Summer Camp Creek,plunge_pool,41.5039959649314,-118.979793990833,0.17,"2","85",1.5,sand,3465.27543054568
"148","148","149",Summer Camp Creek,riffle,41.5039963773511,-118.979770040914,0.13,"0","73",4,sand,3466.51826443097
"149","149","150",Summer Camp Creek,scour_pool,41.5038797629837,-118.979742525041,0.21,"0","81",0,sand,3478.46978065401
"150","150","151",Summer Camp Creek,riffle,41.5038875277895,-118.97981464898,0.13,"0","67",1.8,sand,3473.91750625088
"151","151","152",Summer Camp Creek,rapid,41.5036835734383,-118.979628716279,0.14,"1","70",6.3,sand,3502.18494097679
"152","152","153",Summer Camp Creek,mid-channel,41.5034875899382,-118.979502933356,0.12,"1","84",0.3,sand,3526.52150763944
"153","153","154",Summer Camp Creek,rapid,41.5035954085031,-118.979518199449,0.12,"2","70",10.5,sand,3516.01516099906
"154","154","155",Summer Camp Creek,riffle,41.5035266907319,-118.979324407298,0.1,"2","69",1,sand,3532.54781376446
"155","155","156",Summer Camp Creek,scour_pool,41.5034550865438,-118.97929826364,0.15,"1","83",1.1,sand,3540.3806027245
"156","156","157",Summer Camp Creek,rapid,41.5034008680058,-118.979308593068,0.13,"1","77",3.2,sand,3544.70163185664
"157","157","158",Summer Camp Creek,scour_pool,41.5034500012433,-118.979070467016,0.13,"3","75",1,sand,3553.01132240308
"158","158","159",Summer Camp Creek,rapid,41.5033208802072,-118.979246250734,0.13,"0","87",0,sand,3555.22242930851
"159","159","161",Summer Camp Creek,riffle,41.4962732112475,-118.977929453108,0.14,"2","75",7.5,sand,4372.63727588946
"160","160","162",Summer Camp Creek,plunge_pool,41.4961134395241,-118.977792812776,0.17,"1","88",0,sand,4393.85680505894
"161","161","163",Summer Camp Creek,riffle,41.4960966711608,-118.977720423748,0.14,"3","97",11,sand,4398.14165656805
"162","162","164",Summer Camp Creek,plunge_pool,41.4959440476614,-118.977691819661,0.25,"0","89",1.5,sand,4414.79908938847
"163","163","165",Summer Camp Creek,rapid,41.4959810857816,-118.977633047944,0.16,"2","70",8.5,sand,4413.08619885111
"164","164","166",Summer Camp Creek,plunge_pool,41.4956293866287,-118.977658284865,0.18,"2","79",1.5,sand,4445.28403488136
"165","165","167",Summer Camp Creek,plunge_pool,41.4956201785885,-118.977669984362,0.15,"0","90",0,sand,4446.04174259888
"166","166","168",Summer Camp Creek,plunge_pool,41.4956756327611,-118.977587813892,0.18,"0","92",1,sand,4441.71749288539
"167","167","169",Summer Camp Creek,rapid,41.4956310342292,-118.977562497395,0.16,"3","88",18.25,sand,4447.06602026526
"168","168","170",Summer Camp Creek,plunge_pool,41.4953896254334,-118.977459314423,0.31,"0","74",0.75,sand,4484.0362801128
"169","169","171",Summer Camp Creek,rapid,41.4954166316914,-118.97746013614,0.13,"1","65",3,sand,4472.3834041141
"170","170","173",Summer Camp Creek,rapid,41.4954268693567,-118.977388569661,0.15,"0","83",8,sand,4472.73936650554
"171","171","174",Summer Camp Creek,plunge_pool,41.4952478572356,-118.977323224939,0.22,"0","78",0.5,sand,4526.5372836541
"172","172","175",Summer Camp Creek,rapid,41.4953119014239,-118.977265275253,0.14,"1","80",3.5,sand,4527.17159728626
"173","173","176",Summer Camp Creek,mid-channel,41.4951611308934,-118.977128912495,0.16,"1","93",2.5,sand,4546.13002476331
"174","174","177",Summer Camp Creek,rapid,41.4951414794938,-118.977224151556,0.11,"2","83",10,sand,4540.12797347355
"175","175","178",Summer Camp Creek,scour_pool,41.4951975510401,-118.977106061211,0.17,"0","79",2.5,sand,4545.73321682367
"176","176","179",Mahogany Creek,run,41.5451172636658,-119.01575599661,0.21,"0","90",1,sand,5192.89297924659
"177","177","180",Mahogany Creek,scour_pool,41.5450816767198,-119.01573091328,0.66,"0","87",2,sand,5194.52724446987
"178","178","181",Mahogany Creek,riffle,41.5450835677609,-119.015623072811,0.14,"0","84",3.6,sand,5203.52405730662
"179","179","182",Mahogany Creek,scour_pool,41.5450670349027,-119.015538637553,0.18,"0","64",3,sand,5210.33901509692
"180","180","183",Mahogany Creek,riffle,41.5450756164967,-119.015562881766,0.2,"2","86",16,sand,5208.43100438218
"181","181","184",Mahogany Creek,scour_pool,41.5452058435235,-119.015327151171,0.24,"1","91",4.5,sand,5229.70137636668
"182","182","185",Mahogany Creek,riffle,41.5451800985782,-119.01525441849,0.09,"1","97",3.25,sand,5235.42544340864
"183","183","186",Mahogany Creek,mid-channel,41.5451623050486,-119.015241876944,0.26,"0","85",3.5,sand,5236.24256359984
"184","184","187",Mahogany Creek,riffle,41.5451717269881,-119.015218191981,0.18,"2","92",19,sand,5238.33309575926
"185","185","188",Mahogany Creek,run,41.5451390807132,-119.015025356878,0.16,"1","89",4.3,sand,5253.96231865056
"186","186","189",Mahogany Creek,riffle,41.5450769082807,-119.014975470605,0.19,"1","84",32,sand,5257.3220552714
"187","187","190",Mahogany Creek,scour_pool,41.5451361697771,-119.01467759088,0.38,"0","81",9,sand,5282.8605914947
"188","188","191",Mahogany Creek,run,41.5451993924141,-119.014667565405,0.2,"0","80",6.5,sand,5284.49906628497
"189","189","192",Mahogany Creek,riffle,41.5452098642644,-119.014583968813,0.13,"2","75",9,gravel,5291.58782137287
"190","190","193",Mahogany Creek,scour_pool,41.54516716519,-119.014450765862,0.44,"0","82",1.5,sand,5302.12750711728
"191","191","194",Mahogany Creek,riffle,41.5451502115052,-119.014390295352,0.14,"2","89",5,sand,5306.94317320045
"192","192","195",Mahogany Creek,scour_pool,41.5451981601599,-119.01422394061,0.23,"0","85",3.5,sand,5321.39444948031
"193","193","196",Mahogany Creek,riffle,41.5451897882422,-119.014187714211,0.13,"0","80",3.2,sand,5329.14118329152
"194","194","197",Mahogany Creek,mid-channel,41.5452000497921,-119.014116099847,0.18,"1","99",5.5,sand,5334.97540432912
"195","195","198",Mahogany Creek,riffle,41.5452276850676,-119.014080991317,0.14,"1","86",5,sand,5337.55854600267
"196","196","199",Summer Camp Creek,riffle,41.5099287810334,-118.983605451203,0.13,"1","68",1,gravel,2705.51951689121
"197","197","200",Summer Camp Creek,scour_pool,41.5097371413218,-118.983228147813,0.23,"1","86",1,gravel,2757.24978464859
"198","198","201",Summer Camp Creek,riffle,41.5097545256044,-118.983264625484,0.18,"3","77",4,gravel,2753.50603116336
"199","199","202",Summer Camp Creek,run,41.5096211478428,-118.983164695015,0.14,"1","77",3.5,gravel,2769.66824016073
"200","200","203",Summer Camp Creek,riffle,41.5096039701061,-118.983116241478,0.16,"2","68",0,gravel,2774.23348870106
"201","201","204",Summer Camp Creek,mid-channel,41.5096334550733,-118.982973354269,0.24,"1","78",2,sand,2782.17677357318
