fid,cat,date,trip_numbe,tag_id,latitude,longitude,signal_str,gain,notes,LakeDist,X,stream,reach,seq_order,channel_ty,latitude_2,longitude_,unit_lengt,wetted_wid,max_depth_,pool_crest,LWD_small,LWD_med,LWD_large,root_debri,riparian_s,total_shad,fish_prese,undercut_L,undercut_R,sand,gravel,cobble,boulder,bedrock,dominantSi,dominant_1,understory,understo_1,understo_2,understo_3,understo_4,understo_5,overstoryV,overstor_1,overstor_2,overstor_3,overstor_4,overstor_5,overstor_6,overstor_7,n,distance,feature_x,feature_y,nearest_x,nearest_y,date_2,site_id,latitude_3,longitud_1,rct_depth_,max_pool_d,notes_2,n_2,distance_2,feature_x_,feature_y_,nearest_x_,nearest_y_
"46","46",7/6/2021,"2","20",41.54129,-119.00484,"248","20",REALLY undercut bank in willow thicket,6250.70680517356,"104",Mahogany Creek,MC3-380,"140",FNRN11,41.5415552443575,-119.005191659653,"10.3","1.94","0.21",NA,"1","0","0","2","79","79",Y,"0","7.3","73","25","2","0","0",SS,SS,"45","53","2","53","46","1","0","3","65","70","2","20","57","55","1",0.000440475970659,-119.00484,41.54129,-119.005191659653,41.5415552443575,6/18/2021,MG2,41.54489,-119.01041,10,21.1,same pool as logger,"1",0.006632111277712,-119.00484,41.54129,-119.01041,41.54489
"47","47",7/18/2021,"3","20",41.54123,-119.00479,"208","20","same location, in willow thicket, dense riparian vegetation",6258.1399524852,"104",Mahogany Creek,MC3-380,"140",FNRN11,41.5415552443575,-119.005191659653,"10.3","1.94","0.21",NA,"1","0","0","2","79","79",Y,"0","7.3","73","25","2","0","0",SS,SS,"45","53","2","53","46","1","0","3","65","70","2","20","57","55","1",0.000516831083554,-119.00479,41.54123,-119.005191659653,41.5415552443575,6/18/2021,MG2,41.54489,-119.01041,10,21.1,same pool as logger,"1",0.006706713054839,-119.00479,41.54123,-119.01041,41.54489
"48","48",7/27/2021,"4","20",41.54122,-119.00478,"220","20","moved 5m US, undercut in deep riffle, LIKELY DEAD AT THIS RECAP",6259.49977172974,"104",Mahogany Creek,MC3-380,"140",FNRN11,41.5415552443575,-119.005191659653,"10.3","1.94","0.21",NA,"1","0","0","2","79","79",Y,"0","7.3","73","25","2","0","0",SS,SS,"45","53","2","53","46","1","0","3","65","70","2","20","57","55","1",0.000530897776542,-119.00478,41.54122,-119.005191659653,41.5415552443575,6/18/2021,MG2,41.54489,-119.01041,10,21.1,same pool as logger,"1",0.006720550572681,-119.00478,41.54122,-119.01041,41.54489
"49","49",na,"6","20",41.54125,-119.00481,"250","20","dead tag, found 1m away from wetted edge, likely dead for awhile",6255.42029357891,"104",Mahogany Creek,MC3-380,"140",FNRN11,41.5415552443575,-119.005191659653,"10.3","1.94","0.21",NA,"1","0","0","2","79","79",Y,"0","7.3","73","25","2","0","0",SS,SS,"45","53","2","53","46","1","0","3","65","70","2","20","57","55","1",0.0004887107616,-119.00481,41.54125,-119.005191659653,41.5415552443575,6/18/2021,MG2,41.54489,-119.01041,10,21.1,same pool as logger,"1",0.006679041847442,-119.00481,41.54125,-119.01041,41.54489
"50","50",6/23/2021,"0","21",41.51203,-118.98547,na,na,Tagging event,2425.19433888407,"280",Summer Camp Creek,SCC3-486,"5091",FTRF1,41.5099287810334,-118.983605451203,"35","1.3","0.13",NA,"1","0","0","0","68","68",N,"0","1","40","48","10","2","0",SS,SS,"25","70","5","25","65","10","5","0","35","5","20","25","15","15","1",0.002809210451711,-118.98547,41.51203,-118.983605451203,41.5099287810334,6/18/2021,SC2,41.50257,-118.97894,8.6,18.8,"same site as logger, it's just a deeper riffle; high gradient","1",0.011494890169125,-118.98547,41.51203,-118.97894,41.50257
"51","51",6/30/2021,"1","21",41.51205,-118.98547,"212","20","fish observed alive; in shallow pool; live in channel tree",2423.53713817112,"280",Summer Camp Creek,SCC3-486,"5091",FTRF1,41.5099287810334,-118.983605451203,"35","1.3","0.13",NA,"1","0","0","0","68","68",N,"0","1","40","48","10","2","0",SS,SS,"25","70","5","25","65","10","5","0","35","5","20","25","15","15","1",0.002824201147345,-118.98547,41.51205,-118.983605451203,41.5099287810334,6/18/2021,SC2,41.50257,-118.97894,8.6,18.8,"same site as logger, it's just a deeper riffle; high gradient","1",0.011511355263401,-118.98547,41.51205,-118.97894,41.50257
"52","52",7/7/2021,"2","21",41.51205,-118.98548,"229","20","Smae location, LIKELY DEAD TAG",2422.93568544228,"280",Summer Camp Creek,SCC3-486,"5091",FTRF1,41.5099287810334,-118.983605451203,"35","1.3","0.13",NA,"1","0","0","0","68","68",N,"0","1","40","48","10","2","0",SS,SS,"25","70","5","25","65","10","5","0","35","5","20","25","15","15","1",0.002830813151122,-118.98548,41.51205,-118.983605451203,41.5099287810334,6/18/2021,SC2,41.50257,-118.97894,8.6,18.8,"same site as logger, it's just a deeper riffle; high gradient","1",0.011517030867376,-118.98548,41.51205,-118.97894,41.50257
"53","53",7/20/2021,"3","21",41.51202,-118.98544,"228","20","Previously thought dead, observed alive @ head of pool",2427.82733859769,"280",Summer Camp Creek,SCC3-486,"5091",FTRF1,41.5099287810334,-118.983605451203,"35","1.3","0.13",NA,"1","0","0","0","68","68",N,"0","1","40","48","10","2","0",SS,SS,"25","70","5","25","65","10","5","0","35","5","20","25","15","15","1",0.002781863773589,-118.98544,41.51202,-118.983605451203,41.5099287810334,6/18/2021,SC2,41.50257,-118.97894,8.6,18.8,"same site as logger, it's just a deeper riffle; high gradient","1",0.011469633821533,-118.98544,41.51202,-118.97894,41.50257
"54","54",7/28/2021,"4","21",41.51201,-118.98544,"246","20","Under LWD, same",2428.6559555524,"280",Summer Camp Creek,SCC3-486,"5091",FTRF1,41.5099287810334,-118.983605451203,"35","1.3","0.13",NA,"1","0","0","0","68","68",N,"0","1","40","48","10","2","0",SS,SS,"25","70","5","25","65","10","5","0","35","5","20","25","15","15","1",0.002774354280812,-118.98544,41.51201,-118.983605451203,41.5099287810334,6/18/2021,SC2,41.50257,-118.97894,8.6,18.8,"same site as logger, it's just a deeper riffle; high gradient","1",0.011461396075522,-118.98544,41.51201,-118.97894,41.50257
"55","55",8/13/2021,"5","21",41.51201,-118.98544,"250","20","undercut, behind rock",2428.6559555524,"280",Summer Camp Creek,SCC3-486,"5091",FTRF1,41.5099287810334,-118.983605451203,"35","1.3","0.13",NA,"1","0","0","0","68","68",N,"0","1","40","48","10","2","0",SS,SS,"25","70","5","25","65","10","5","0","35","5","20","25","15","15","1",0.002774354280812,-118.98544,41.51201,-118.983605451203,41.5099287810334,6/18/2021,SC2,41.50257,-118.97894,8.6,18.8,"same site as logger, it's just a deeper riffle; high gradient","1",0.011461396075522,-118.98544,41.51201,-118.97894,41.50257
"56","56",8/18/2021,"6","21",41.51201,-118.98544,"250","20",Undercut behind rock,2428.6559555524,"280",Summer Camp Creek,SCC3-486,"5091",FTRF1,41.5099287810334,-118.983605451203,"35","1.3","0.13",NA,"1","0","0","0","68","68",N,"0","1","40","48","10","2","0",SS,SS,"25","70","5","25","65","10","5","0","35","5","20","25","15","15","1",0.002774354280812,-118.98544,41.51201,-118.983605451203,41.5099287810334,6/18/2021,SC2,41.50257,-118.97894,8.6,18.8,"same site as logger, it's just a deeper riffle; high gradient","1",0.011461396075522,-118.98544,41.51201,-118.97894,41.50257
"57","57",9/4/2021,"7","21",41.51202,-118.98547,"240","20",same,2426.02297911514,"280",Summer Camp Creek,SCC3-486,"5091",FTRF1,41.5099287810334,-118.983605451203,"35","1.3","0.13",NA,"1","0","0","0","68","68",N,"0","1","40","48","10","2","0",SS,SS,"25","70","5","25","65","10","5","0","35","5","20","25","15","15","1",0.002801738564295,-118.98547,41.51202,-118.983605451203,41.5099287810334,6/18/2021,SC2,41.50257,-118.97894,8.6,18.8,"same site as logger, it's just a deeper riffle; high gradient","1",0.011486661830148,-118.98547,41.51202,-118.97894,41.50257
"58","58",9/18/2021,"8","21",41.51202,-118.98547,"244","20",same,2426.02297911514,"280",Summer Camp Creek,SCC3-486,"5091",FTRF1,41.5099287810334,-118.983605451203,"35","1.3","0.13",NA,"1","0","0","0","68","68",N,"0","1","40","48","10","2","0",SS,SS,"25","70","5","25","65","10","5","0","35","5","20","25","15","15","1",0.002801738564295,-118.98547,41.51202,-118.983605451203,41.5099287810334,6/18/2021,SC2,41.50257,-118.97894,8.6,18.8,"same site as logger, it's just a deeper riffle; high gradient","1",0.011486661830148,-118.98547,41.51202,-118.97894,41.50257
"59","59",6/22/2021,"0","22",41.53192,-118.99353,na,na,Tagging event,7943.22130084327,"105",Mahogany Creek,MC5-501,"211",SSLS1,41.532078239842,-118.993391894111,"12","2.1","0.55","0.26","0","0","0","1","27","27",Y,"0","6","70","30","0","0","0",SS,ST,"2","98","0","5","94","1","50","0","0","0","4","5","65","4","1",0.000210031150488,-118.99353,41.53192,-118.993391894111,41.532078239842,6/18/2021,MG3,41.53177,-118.99426,8.7,30.5,5m DS of logger,"1",0.000745251635345,-118.99353,41.53192,-118.99426,41.53177
"60","60",6/29/2021,"1","22",41.53192,-118.99349,"230","20","same location as when tagged; near willow thicket",7945.99592004095,"105",Mahogany Creek,MC5-501,"211",SSLS1,41.532078239842,-118.993391894111,"12","2.1","0.55","0.26","0","0","0","1","27","27",Y,"0","6","70","30","0","0","0",SS,ST,"2","98","0","5","94","1","50","0","0","0","4","5","65","4","1",0.000186184352329,-118.99349,41.53192,-118.993391894111,41.532078239842,6/18/2021,MG3,41.53177,-118.99426,8.7,30.5,5m DS of logger,"1",0.000784474346301,-118.99349,41.53192,-118.99426,41.53177
"61","61",7/6/2021,"2","22",41.53194,-118.99344,"223","20","small pool under willows, OBSERVED",7950.85713002834,"105",Mahogany Creek,MC5-501,"211",SSLS1,41.532078239842,-118.993391894111,"12","2.1","0.55","0.26","0","0","0","1","27","27",Y,"0","6","70","30","0","0","0",SS,ST,"2","98","0","5","94","1","50","0","0","0","4","5","65","4","1",0.000146370866206,-118.99344,41.53194,-118.993391894111,41.532078239842,6/18/2021,MG3,41.53177,-118.99426,8.7,30.5,5m DS of logger,"1",0.000837436564752,-118.99344,41.53194,-118.99426,41.53177
"62","62",7/18/2021,"3","22",41.53193,-118.99347,"236","20","Same location, in pool, riparian vegetation, willow thicket",7948.0796245765,"105",Mahogany Creek,MC5-501,"211",SSLS1,41.532078239842,-118.993391894111,"12","2.1","0.55","0.26","0","0","0","1","27","27",Y,"0","6","70","30","0","0","0",SS,ST,"2","98","0","5","94","1","50","0","0","0","4","5","65","4","1",0.000167557693504,-118.99347,41.53193,-118.993391894111,41.532078239842,6/18/2021,MG3,41.53177,-118.99426,8.7,30.5,5m DS of logger,"1",0.000806039701251,-118.99347,41.53193,-118.99426,41.53177
"63","63",6/22/2021,"0","23",41.53289,-118.99067,na,na,Tagging event,8225.39438188481,"134",Mahogany Creek,MC5-501,"230",SSMC10,41.5329438699524,-118.99177631864,"2.5","1.4","0.2","0.31","1","1","0","0","81","81",Y,"2","1","84","12","2","2","0",ST,SS,"30","0","70","40","59","1","1","1","55","3","0","5","55","2","1",0.001107629407794,-118.99067,41.53289,-118.99177631864,41.5329438699524,6/18/2021,MG4,41.53231235,-118.98891604,8.6,14.4,same as logger site,"1",0.001846633478539,-118.99067,41.53289,-118.98891604,41.53231235
"64","64",6/29/2021,"1","23",41.53293,-118.99077,"228","20","confirmed alive; near bend in creek; in pool",8216.68908269211,"134",Mahogany Creek,MC5-501,"230",SSMC10,41.5329438699524,-118.99177631864,"2.5","1.4","0.2","0.31","1","1","0","0","81","81",Y,"2","1","84","12","2","2","0",ST,SS,"30","0","70","40","59","1","1","1","55","3","0","5","55","2","1",0.0010064142193,-118.99077,41.53293,-118.99177631864,41.5329438699524,6/18/2021,MG4,41.53231235,-118.98891604,8.6,14.4,same as logger site,"1",0.001954138993027,-118.99077,41.53293,-118.98891604,41.53231235
"65","65",7/6/2021,"2","23",41.53291,-118.99072,"220","20","Same location, in willow thicket, under undercut",8221.0417412724,"134",Mahogany Creek,MC5-501,"230",SSMC10,41.5329438699524,-118.99177631864,"2.5","1.4","0.2","0.31","1","1","0","0","81","81",Y,"2","1","84","12","2","2","0",ST,SS,"30","0","70","40","59","1","1","1","55","3","0","5","55","2","1",0.001056861506021,-118.99072,41.53291,-118.99177631864,41.5329438699524,6/18/2021,MG4,41.53231235,-118.98891604,8.6,14.4,same as logger site,"1",0.001900383436064,-118.99072,41.53291,-118.98891604,41.53231235
"66","66",7/18/2021,"3","23",41.53292,-118.99075,"210","20","Observed alive, same location, @ bend in creek",8218.44887689032,"134",Mahogany Creek,MC5-501,"230",SSMC10,41.5329438699524,-118.99177631864,"2.5","1.4","0.2","0.31","1","1","0","0","81","81",Y,"2","1","84","12","2","2","0",ST,SS,"30","0","70","40","59","1","1","1","55","3","0","5","55","2","1",0.001026596184213,-118.99075,41.53292,-118.99177631864,41.5329438699524,6/18/2021,MG4,41.53231235,-118.98891604,8.6,14.4,same as logger site,"1",0.00193200616047,-118.99075,41.53292,-118.98891604,41.53231235
"67","67",7/28/2021,"4","23",41.53292,-118.99077,"221","20","Seen alive, bend in creek, willow thickets, Same location",8216.7821129014,"134",Mahogany Creek,MC5-501,"230",SSMC10,41.5329438699524,-118.99177631864,"2.5","1.4","0.2","0.31","1","1","0","0","81","81",Y,"2","1","84","12","2","2","0",ST,SS,"30","0","70","40","59","1","1","1","55","3","0","5","55","2","1",0.001006601698716,-118.99077,41.53292,-118.99177631864,41.5329438699524,6/18/2021,MG4,41.53231235,-118.98891604,8.6,14.4,same as logger site,"1",0.001951001333692,-118.99077,41.53292,-118.98891604,41.53231235
"68","68",6/23/2021,"0","24",41.51197,-118.9854,na,na,Tagging event,2434.37622364857,"280",Summer Camp Creek,SCC3-486,"5091",FTRF1,41.5099287810334,-118.983605451203,"35","1.3","0.13",NA,"1","0","0","0","68","68",N,"0","1","40","48","10","2","0",SS,SS,"25","70","5","25","65","10","5","0","35","5","20","25","15","15","1",0.002717899971372,-118.9854,41.51197,-118.983605451203,41.5099287810334,6/18/2021,SC2,41.50257,-118.97894,8.6,18.8,"same site as logger, it's just a deeper riffle; high gradient","1",0.011405770469374,-118.9854,41.51197,-118.97894,41.50257
"69","69",6/30/2021,"1","24",41.51323,-118.98619,"221","20","moving DS; DS of gravel road ford; found in willows",2269.03833796688,"280",Summer Camp Creek,SCC3-486,"5091",FTRF1,41.5099287810334,-118.983605451203,"35","1.3","0.13",NA,"1","0","0","0","68","68",N,"0","1","40","48","10","2","0",SS,SS,"25","70","5","25","65","10","5","0","35","5","20","25","15","15","1",0.004192605293781,-118.98619,41.51323,-118.983605451203,41.5099287810334,6/18/2021,SC1,41.52543,-118.98546,8.4,24.9,max depth under barbed wire,"1",0.012221820649968,-118.98619,41.51323,-118.98546,41.52543
"70","70",7/7/2021,"2","24",41.51319,-118.98618,"213","20","Same location, below creek ford, dense willows",2272.63750048358,"280",Summer Camp Creek,SCC3-486,"5091",FTRF1,41.5099287810334,-118.983605451203,"35","1.3","0.13",NA,"1","0","0","0","68","68",N,"0","1","40","48","10","2","0",SS,SS,"25","70","5","25","65","10","5","0","35","5","20","25","15","15","1",0.004154979019952,-118.98618,41.51319,-118.983605451203,41.5099287810334,6/18/2021,SC1,41.52543,-118.98546,8.4,24.9,max depth under barbed wire,"1",0.012261158183466,-118.98618,41.51319,-118.98546,41.52543
"71","71",7/20/2021,"3","24",41.51332,-118.98614,"234","20","Observed alive, narrow, incised part of creek, moved DS slightly",2232.03391299798,"280",Summer Camp Creek,SCC3-486,"5091",FTRF1,41.5099287810334,-118.983605451203,"35","1.3","0.13",NA,"1","0","0","0","68","68",N,"0","1","40","48","10","2","0",SS,SS,"25","70","5","25","65","10","5","0","35","5","20","25","15","15","1",0.004233710392055,-118.98614,41.51332,-118.983605451203,41.5099287810334,6/18/2021,SC1,41.52543,-118.98546,8.4,24.9,max depth under barbed wire,"1",0.01212907663427,-118.98614,41.51332,-118.98546,41.52543
"72","72",7/28/2021,"4","24",41.51328,-118.9861,"233","20","Same location, Seen alive",2260.44016148283,"280",Summer Camp Creek,SCC3-486,"5091",FTRF1,41.5099287810334,-118.983605451203,"35","1.3","0.13",NA,"1","0","0","0","68","68",N,"0","1","40","48","10","2","0",SS,SS,"25","70","5","25","65","10","5","0","35","5","20","25","15","15","1",0.004177731712623,-118.9861,41.51328,-118.983605451203,41.5099287810334,6/18/2021,SC1,41.52543,-118.98546,8.4,24.9,max depth under barbed wire,"1",0.012166844290939,-118.9861,41.51328,-118.98546,41.52543
"73","73",6/23/2021,"0","25",41.54155,-119.00477,na,na,Tagging event,6239.30368894502,"104",Mahogany Creek,MC3-380,"140",FNRN11,41.5415552443575,-119.005191659653,"10.3","1.94","0.21",NA,"1","0","0","2","79","79",Y,"0","7.3","73","25","2","0","0",SS,SS,"45","53","2","53","46","1","0","3","65","70","2","20","57","55","1",0.000421692264873,-119.00477,41.54155,-119.005191659653,41.5415552443575,6/18/2021,MG2,41.54489,-119.01041,10,21.1,same pool as logger,"1",0.006554784512095,-119.00477,41.54155,-119.01041,41.54489
"74","74",6/28/2021,"1","25",41.54094,-119.00442,"222","20",moved US into willow thicket,6303.38177772405,"104",Mahogany Creek,MC3-380,"140",FNRN11,41.5415552443575,-119.005191659653,"10.3","1.94","0.21",NA,"1","0","0","2","79","79",Y,"0","7.3","73","25","2","0","0",SS,SS,"45","53","2","53","46","1","0","3","65","70","2","20","57","55","1",0.000986906398549,-119.00442,41.54094,-119.005191659653,41.5415552443575,6/18/2021,MG2,41.54489,-119.01041,10,21.1,same pool as logger,"1",0.007175137629341,-119.00442,41.54094,-119.01041,41.54489
"75","75",7/6/2021,"2","25",41.54097,-119.00445,"212","25","Same location, in willow thicket",6299.30226874482,"104",Mahogany Creek,MC3-380,"140",FNRN11,41.5415552443575,-119.005191659653,"10.3","1.94","0.21",NA,"1","0","0","2","79","79",Y,"0","7.3","73","25","2","0","0",SS,SS,"45","53","2","53","46","1","0","3","65","70","2","20","57","55","1",0.000944759227978,-119.00445,41.54097,-119.005191659653,41.5415552443575,6/18/2021,MG2,41.54489,-119.01041,10,21.1,same pool as logger,"1",0.007133582550154,-119.00445,41.54097,-119.01041,41.54489
"76","76",7/18/2021,"3","25",41.54096,-119.00443,"206","25","Same location, deep willow thicket, in riffle",6301.38793780156,"104",Mahogany Creek,MC3-380,"140",FNRN11,41.5415552443575,-119.005191659653,"10.3","1.94","0.21",NA,"1","0","0","2","79","79",Y,"0","7.3","73","25","2","0","0",SS,SS,"45","53","2","53","46","1","0","3","65","70","2","20","57","55","1",0.000966665025814,-119.00443,41.54096,-119.005191659653,41.5415552443575,6/18/2021,MG2,41.54489,-119.01041,10,21.1,same pool as logger,"1",0.007155787867171,-119.00443,41.54096,-119.01041,41.54489
"77","77",7/27/2021,"4","25",41.54094,-119.00444,"195","30","Dense willow thicket, Same location",6301.93009965093,"104",Mahogany Creek,MC3-380,"140",FNRN11,41.5415552443575,-119.005191659653,"10.3","1.94","0.21",NA,"1","0","0","2","79","79",Y,"0","7.3","73","25","2","0","0",SS,SS,"45","53","2","53","46","1","0","3","65","70","2","20","57","55","1",0.000971348471645,-119.00444,41.54094,-119.005191659653,41.5415552443575,6/18/2021,MG2,41.54489,-119.01041,10,21.1,same pool as logger,"1",0.007158449552795,-119.00444,41.54094,-119.01041,41.54489
"78","78",8/12/2021,"5","25",41.54094,-119.00442,"200","25",under willows,6303.38177772405,"104",Mahogany Creek,MC3-380,"140",FNRN11,41.5415552443575,-119.005191659653,"10.3","1.94","0.21",NA,"1","0","0","2","79","79",Y,"0","7.3","73","25","2","0","0",SS,SS,"45","53","2","53","46","1","0","3","65","70","2","20","57","55","1",0.000986906398549,-119.00442,41.54094,-119.005191659653,41.5415552443575,6/18/2021,MG2,41.54489,-119.01041,10,21.1,same pool as logger,"1",0.007175137629341,-119.00442,41.54094,-119.01041,41.54489
"79","79",8/17/2021,"6","25",41.54091,-119.00429,"199","25","moved US, bend in creek, dense willows",6314.71963582704,"104",Mahogany Creek,MC3-380,"140",FNRN11,41.5415552443575,-119.005191659653,"10.3","1.94","0.21",NA,"1","0","0","2","79","79",Y,"0","7.3","73","25","2","0","0",SS,SS,"45","53","2","53","46","1","0","3","65","70","2","20","57","55","1",0.001108751735388,-119.00429,41.54091,-119.005191659653,41.5415552443575,6/18/2021,MG2,41.54489,-119.01041,10,21.1,same pool as logger,"1",0.00730032875972,-119.00429,41.54091,-119.01041,41.54489
"80","80",9/5/2021,"7","25",41.541,-119.00455,"201","30",Moved DS 10m,6290.14192115421,"104",Mahogany Creek,MC3-380,"140",FNRN11,41.5415552443575,-119.005191659653,"10.3","1.94","0.21",NA,"1","0","0","2","79","79",Y,"0","7.3","73","25","2","0","0",SS,SS,"45","53","2","53","46","1","0","3","65","70","2","20","57","55","1",0.000848541929914,-119.00455,41.541,-119.005191659653,41.5415552443575,6/18/2021,MG2,41.54489,-119.01041,10,21.1,same pool as logger,"1",0.007033612158772,-119.00455,41.541,-119.01041,41.54489
"81","81",9/18/2021,"8","25",41.54094,-119.00441,"220","20",Moved 5m US,6304.10761038331,"104",Mahogany Creek,MC3-380,"140",FNRN11,41.5415552443575,-119.005191659653,"10.3","1.94","0.21",NA,"1","0","0","2","79","79",Y,"0","7.3","73","25","2","0","0",SS,SS,"45","53","2","53","46","1","0","3","65","70","2","20","57","55","1",0.000994744908286,-119.00441,41.54094,-119.005191659653,41.5415552443575,6/18/2021,MG2,41.54489,-119.01041,10,21.1,same pool as logger,"1",0.007183488010711,-119.00441,41.54094,-119.01041,41.54489
"82","82",6/25/2021,"0","26",41.53737,-119.00085,na,na,Tagging event,6843.50840504959,"379",Mahogany Creek,MC3-458,"151",FTRF1,41.536702754398,-118.999899178992,"6","2","0.15",NA,"0","0","0","0","95","95",N,"3.5","2","65","20","14","1","0",SS,SS,"57","43","0","92","8","0","0","92","2","2","0","1","60","75","1",0.0011615839542,-119.00085,41.53737,-118.999899178992,41.536702754398,6/18/2021,MG3,41.53177,-118.99426,8.7,30.5,5m DS of logger,"1",0.008648011332095,-119.00085,41.53737,-118.99426,41.53177
"83","83",6/29/2021,"1","26",41.53738,-119.00085,"238","20","same location as when tagged; undercut bank/pool",6844.59188594958,"379",Mahogany Creek,MC3-458,"151",FTRF1,41.536702754398,-118.999899178992,"6","2","0.15",NA,"0","0","0","0","95","95",N,"3.5","2","65","20","14","1","0",SS,SS,"57","43","0","92","8","0","0","92","2","2","0","1","60","75","1",0.00116735692686,-119.00085,41.53738,-118.999899178992,41.536702754398,6/18/2021,MG3,41.53177,-118.99426,8.7,30.5,5m DS of logger,"1",0.008654490164071,-119.00085,41.53738,-118.99426,41.53177
"84","84",6/24/2021,"0","27",41.53241,-118.98883,na,na,Tagging event,8403.29903545081,"145",Mahogany Creek,MC5-555,"251",SSLS6,41.5325372465185,-118.988731254425,"4.75","1.16","0.13","0.3","0","0","0","0","93","93",N,"0.79","0","95","4","0","1","0",SS,SS,"95","4","1","90","9","1","0","0","85","95","0","0","80","90","1",0.000161066337422,-118.98883,41.53241,-118.988731254425,41.5325372465185,6/18/2021,MG4,41.53231235,-118.98891604,8.6,14.4,same as logger site,"1",0.000130147624267,-118.98883,41.53241,-118.98891604,41.53231235
"85","85",6/29/2021,"1","27",41.53306,-118.99123,"205","30","fish observed; moved DS from MG4+ to below confluence",8179.18519505906,"134",Mahogany Creek,MC5-501,"230",SSMC10,41.5329438699524,-118.99177631864,"2.5","1.4","0.2","0.31","1","1","0","0","81","81",Y,"2","1","84","12","2","2","0",ST,SS,"30","0","70","40","59","1","1","1","55","3","0","5","55","2","1",0.000558525061544,-118.99123,41.53306,-118.99177631864,41.5329438699524,6/18/2021,MG4,41.53231235,-118.98891604,8.6,14.4,same as logger site,"1",0.002431746574806,-118.99123,41.53306,-118.98891604,41.53231235
"86","86",7/6/2021,"2","27",41.53304,-118.99126,"220","20","Same location, shallow pool in willow/aspen thicket",8176.34609736845,"134",Mahogany Creek,MC5-501,"230",SSMC10,41.5329438699524,-118.99177631864,"2.5","1.4","0.2","0.31","1","1","0","0","81","81",Y,"2","1","84","12","2","2","0",ST,SS,"30","0","70","40","59","1","1","1","55","3","0","5","55","2","1",0.0005251913214,-118.99126,41.53304,-118.99177631864,41.5329438699524,6/18/2021,MG4,41.53231235,-118.98891604,8.6,14.4,same as logger site,"1",0.002454307031334,-118.99126,41.53304,-118.98891604,41.53231235
"87","87",6/24/2021,"0","28",41.53256,-118.98864,na,na,Tagging event,8423.51442620559,"146",Mahogany Creek,MC5-555,"252",FNRN6,41.5326025400404,-118.988601403353,"7","0.81","0.13",NA,"0","0","0","0","85","85",N,"0.91","3","95","2","1","2","0",SS,SS,"95","4","1","90","9","1","0","0","70","97","0","0","92","85","1",5.7440022609e-05,-118.98864,41.53256,-118.988601403353,41.5326025400404,6/18/2021,MG4,41.53231235,-118.98891604,8.6,14.4,same as logger site,"1",0.000370848492111,-118.98864,41.53256,-118.98891604,41.53231235
"88","88",6/29/2021,"1","28",41.53251,-118.98874,"210","27","located in head of pool, riffles getting low/near impassable",8413.78081767727,"145",Mahogany Creek,MC5-555,"251",SSLS6,41.5325372465185,-118.988731254425,"4.75","1.16","0.13","0.3","0","0","0","0","93","93",N,"0.79","0","95","4","0","1","0",SS,SS,"95","4","1","90","9","1","0","0","85","95","0","0","80","90","1",2.8615692416e-05,-118.98874,41.53251,-118.988731254425,41.5325372465185,6/18/2021,MG4,41.53231235,-118.98891604,8.6,14.4,same as logger site,"1",0.000264680192121,-118.98874,41.53251,-118.98891604,41.53231235
"89","89",7/6/2021,"2","28",41.53212,-118.99546,"122","75","In deep rocky canyon with no access, in Mahogany gorge approx. 300-400m DS of MG3",7744.970901398,"489",Mahogany Creek,MC4-15-1,"182",SSLS1,41.5320609097389,-118.995429052201,"2.5","2.75","0.23","0.27","1","0","0","0","89","89",N,"0","0","80","13","5","2","0",SP,SS,"85","15","0","90","10","0","0","80","5","20","0","65","0","25","1",6.6704012014e-05,-118.99546,41.53212,-118.995429052201,41.5320609097389,6/18/2021,MG3,41.53177,-118.99426,8.7,30.5,5m DS of logger,"1",0.001249999999997,-118.99546,41.53212,-118.99426,41.53177
"90","90",7/18/2021,"3","28",41.53236,-118.99571,"134","70","In willow thicket, mahogany gorge below MG3",7713.45643245872,"490",Mahogany Creek,MC4-15-1,"183",FTCC2,41.5321584752649,-118.995515956717,"4.5","1.15","0.14",NA,"0","0","0","1","87","87",N,"0","0","50","35","10","5","0",SS,SS,"90","10","0","90","10","0","0","60","20","40","0","25","0","40","1",0.000279758850681,-118.99571,41.53236,-118.995515956717,41.5321584752649,6/18/2021,MG3,41.53177,-118.99426,8.7,30.5,5m DS of logger,"1",0.00156543923549,-118.99571,41.53236,-118.99426,41.53177
"91","91",7/27/2021,"4","28",41.53237,-118.99585,"204","20","Under LWD, in canyon gorge",7702.09636994265,"490",Mahogany Creek,MC4-15-1,"183",FTCC2,41.5321584752649,-118.995515956717,"4.5","1.15","0.14",NA,"0","0","0","1","87","87",N,"0","0","50","35","10","5","0",SS,SS,"90","10","0","90","10","0","0","60","20","40","0","25","0","40","1",0.00039538288845,-118.99585,41.53237,-118.995515956717,41.5321584752649,6/18/2021,MG3,41.53177,-118.99426,8.7,30.5,5m DS of logger,"1",0.001699441084599,-118.99585,41.53237,-118.99426,41.53177
