"","stream","channel_type","latitude","longitude","max_depth_m","lwd_total","total_shade","undercut_bank_m","dominant_substrate"
"283","Mahogany Creek","riffle",41.5301474575427,-118.974274748454,0.1,2,89,11.5,"gravel"
"284","Mahogany Creek","scour_pool",41.5300435475232,-118.97403186685,0.2,0,96,2,"sand"
"285","Mahogany Creek","run",41.5301247716904,-118.974022350912,0.08,1,87,8,"sand"
"286","Mahogany Creek","scour_pool",41.5301000283295,-118.973889751673,0.25,1,94,3.5,"sand"
"287","Mahogany Creek","run",41.5301274458826,-118.973866613269,0.19,1,85,8.5,"sand"
"288","Mahogany Creek","scour_pool",41.5301399446372,-118.973663230033,0.29,0,94,3,"sand"
"289","Mahogany Creek","run",41.530111910077,-118.973722307983,0.06,1,93,4,"sand"
"290","Mahogany Creek","scour_pool",41.5301646882594,-118.973795829278,0.16,1,99,2,"sand"
"291","Mahogany Creek","run",41.5301569203358,-118.973723676592,0.09,3,92,7.5,"sand"
"292","Mahogany Creek","mid-channel",41.5301372707198,-118.973818967725,0.17,0,83,3,"sand"
"293","Mahogany Creek","run",41.5301489466892,-118.973663503747,0.05,1,94,0,"sand"
"294","Mahogany Creek","mid-channel",41.5300523921522,-118.973516735214,0.13,0,92,0.75,"sand"
"295","Mahogany Creek","run",41.5300787813183,-118.973553495731,0.06,1,95,3,"sand"
"296","Mahogany Creek","scour_pool",41.5230058720532,-118.957374781678,0.21,0,91,3,"sand"
"297","Mahogany Creek","riffle",41.5229788655992,-118.957373967516,0.09,0,90,0.75,"sand"
"298","Mahogany Creek","mid-channel",41.5230136504658,-118.95744692482,0.13,1,93,1,"sand"
"299","Mahogany Creek","run",41.5229502274872,-118.957468982267,0.1,0,71,5,"sand"
"300","Mahogany Creek","riffle",41.5229410213735,-118.957480689479,0.13,0,88,14,"sand"
"301","Mahogany Creek","run",41.5228147872974,-118.957488868456,0.08,0,86,7,"sand"
"302","Mahogany Creek","riffle",41.5227879848073,-118.957476075669,0.2,0,76,2.8,"sand"
"303","Mahogany Creek","scour_pool",41.5227435859321,-118.957438782946,0.15,0,83,2,"sand"
"304","Mahogany Creek","riffle",41.522780002452,-118.957415911358,0.1,1,87,11.5,"cobble"
"305","Mahogany Creek","mid-channel",41.5226887571822,-118.957485068846,0.12,0,87,1.5,"sand"
"306","Mahogany Creek","riffle",41.5227157636357,-118.957485883046,0.08,0,92,7,"gravel"
"307","Mahogany Creek","scour_pool",41.5225809353283,-118.957469833512,0.19,1,73,1.25,"sand"
"308","Mahogany Creek","riffle",41.5225357206097,-118.957480455067,0.13,1,67,6,"sand"
"309","Mahogany Creek","plunge_pool",41.5223634559434,-118.957547169563,0.14,1,64,0.5,"sand"
"310","Mahogany Creek","run",41.5223636599108,-118.957535191058,0.08,2,87,9.7,"sand"
"311","Mahogany Creek","scour_pool",41.5223092390667,-118.957557519627,0.25,1,93,4,"sand"
"312","Mahogany Creek","run",41.5223010527806,-118.957509334248,0.14,1,81,14,"sand"
"313","Mahogany Creek","riffle",41.522256653907,-118.957472041796,0.13,1,86,8,"sand"
"314","Mahogany Creek","plunge_pool",41.522164796704,-118.957577134079,0.22,0,60,3,"sand"
"315","Mahogany Creek","sheet",41.5221371783333,-118.957612255245,0.06,0,88,1,"bedrock"
"316","Mahogany Creek","riffle",41.5320623653792,-118.995345192061,0.14,2,87,2.5,"sand"
"317","Mahogany Creek","scour_pool",41.5320609097389,-118.995429052201,0.23,1,89,0,"sand"
"318","Mahogany Creek","cascade",41.5321584752649,-118.995515956717,0.14,1,87,0,"sand"
"319","Mahogany Creek","plunge_pool",41.5321253788942,-118.99534712923,0.21,1,76,0,"sand"
"320","Mahogany Creek","cascade",41.532009393498,-118.995283631581,0.12,0,78,0,"sand"
"321","Mahogany Creek","plunge_pool",41.5320175636685,-118.99533182836,0.28,0,92,0,"sand"
"322","Mahogany Creek","cascade",41.5319560057167,-118.995246031205,0.24,0,96,0,"sand"
"323","Mahogany Creek","plunge_pool",41.531937378048,-118.995281417753,0.42,1,97,0,"sand"
"324","Mahogany Creek","rapid",41.5320112648862,-118.995175811475,0.16,0,62,0,"sand"
"325","Mahogany Creek","riffle",41.5319396652807,-118.995149637768,0.16,0,53,0,"sand"
"326","Mahogany Creek","debris_pool",41.5317962581275,-118.99510927051,0.18,0,61,0,"sand"
"327","Mahogany Creek","mid-channel",41.5318973585147,-118.994992514327,0.26,0,41,0,"sand"
"328","Mahogany Creek","riffle",41.5317422465324,-118.995107610296,0.08,0,55,0,"sand"
"329","Mahogany Creek","mid-channel",41.5316989001724,-118.995010387145,0.22,2,44,0,"sand"
"330","Mahogany Creek","riffle",41.5317359474302,-118.994951594084,0.09,2,69,0,"sand"
"331","Mahogany Creek","run",41.5318194595709,-118.994810324465,0.17,1,51,0.5,"sand"
"332","Mahogany Creek","riffle",41.5318650928992,-118.99477576781,0.08,1,92,19,"sand"
"333","Mahogany Creek","run",41.5318659244257,-118.994727847856,0.14,3,94,6,"sand"
"334","Mahogany Creek","riffle",41.5317051368482,-118.994650988411,0.04,1,83,0,"sand"
"335","Mahogany Creek","mid-channel",41.5318043660044,-118.994642051462,0.14,1,92,0,"sand"
"336","Mahogany Creek","cascade",41.5088979470729,-118.95545185148,0.14,1,87,2,"sand"
"337","Mahogany Creek","rapid",41.5089441801482,-118.95538135014,0.13,3,88,14,"sand"
"338","Mahogany Creek","riffle",41.5087637290854,-118.955399882641,0.1,3,86,12,"sand"
"339","Mahogany Creek","plunge_pool",41.508556271463,-118.955417602121,0.15,1,88,0,"sand"
"340","Mahogany Creek","rapid",41.5085656810277,-118.955393921147,0.12,6,95,7,"sand"
"341","Mahogany Creek","mid-channel",41.5083482027509,-118.955471249322,0.15,0,97,0,"sand"
"342","Mahogany Creek","rapid",41.5083387931719,-118.955494930206,0.12,16,89,8,"sand"
"343","Mahogany Creek","scour_pool",41.5080407025801,-118.955545867081,0.13,1,86,1,"sand"
"344","Mahogany Creek","rapid",41.5079862820653,-118.955568192871,0.11,0,98,3,"sand"
"345","Mahogany Creek","mid-channel",41.5080239204031,-118.955473469844,0.12,0,94,0.5,"sand"
"346","Mahogany Creek","rapid",41.5079782983882,-118.955508042541,0.1,14,85,10,"sand"
"347","Mahogany Creek","riffle",41.5075623645559,-118.955603359438,0.09,1,70,0,"sand"
"348","Mahogany Creek","rapid",41.5075709593251,-118.955627582017,0.09,12,77,8,"sand"
"349","Mahogany Creek","mid-channel",41.5068714369034,-118.955450760885,0.1,0,86,2,"sand"
"350","Mahogany Creek","plunge_pool",41.5057040038594,-118.955247879873,0.15,0,93,1.44,"sand"
"351","Mahogany Creek","rapid",41.5065962389094,-118.955214824293,0.05,4,94,16.5,"sand"
"352","Mahogany Creek","rapid",41.4794001488758,-118.954420841377,0.09,13,94,22,"sand"
"353","Mahogany Creek","plunge_pool",41.506083521445,-118.955175430323,0.12,1,88,1.44,"sand"
"354","Mahogany Creek","mid-channel",41.5162315597442,-118.95744621275,0.14,0,80,2,"sand"
"355","Mahogany Creek","rapid",41.5161773428413,-118.95745656212,0.1,2,74,19,"sand"
"356","Mahogany Creek","mid-channel",41.5160177510343,-118.957307950102,0.13,0,71,1,"sand"
"357","Mahogany Creek","rapid",41.5160177510343,-118.957307950102,0.13,1,72,3,"sand"
"358","Mahogany Creek","mid-channel",41.515973759793,-118.957246706902,0.13,0,83,0,"sand"
"359","Mahogany Creek","rapid",41.5159473650316,-118.957209961023,0.09,1,90,3,"sand"
"360","Mahogany Creek","riffle",41.5159211741604,-118.957161237853,0.08,1,96,3,"sand"
"361","Mahogany Creek","scour_pool",41.5157853260904,-118.957205077687,0.15,1,76,0.5,"sand"
"362","Mahogany Creek","riffle",41.515783694801,-118.957300896038,0.06,4,84,2,"sand"
"363","Mahogany Creek","scour_pool",41.5153845104101,-118.956941347883,0.16,1,93,1,"sand"
"364","Mahogany Creek","riffle",41.5153851220359,-118.956905416216,0.11,0,86,5.5,"sand"
"365","Mahogany Creek","run",41.5151885014583,-118.95681560844,0.13,0,85,0.5,"sand"
"366","Mahogany Creek","riffle",41.5152705402604,-118.956758163554,0.1,3,85,10,"sand"
"367","Mahogany Creek","scour_pool",41.5149562798261,-118.956700762054,0.13,1,87,0.75,"sand"
"368","Mahogany Creek","rapid",41.5149478892038,-118.956664559406,0.09,0,71,0,"sand"
"369","Mahogany Creek","mid-channel",41.5149476853566,-118.95667653655,0.16,0,83,1,"sand"
"370","Mahogany Creek","rapid",41.514902674518,-118.956675180481,0.09,3,86,13,"sand"
"371","Mahogany Creek","riffle",41.5145990468587,-118.956522234337,0.08,3,65,6,"sand"
"372","Mahogany Creek","scour_pool",41.514453177637,-118.956625688804,0.12,1,87,1.5,"sand"
"373","Mahogany Creek","rapid",41.5144992076693,-118.95656715951,0.11,5,90,7,"sand"
"374","Mahogany Creek","riffle",41.5250121190586,-119.061585762101,0.08,0,12,1,"sand"
"375","Mahogany Creek","run",41.5250309814541,-119.061538420874,0.14,0,20,3.5,"sand"
"376","Mahogany Creek","riffle",41.5250140523431,-119.06147795804,0.11,0,10,2,"sand"
"377","Mahogany Creek","mid-channel",41.5250425606595,-119.061394967901,0.2,0,16,1.5,"sand"
"378","Mahogany Creek","run",41.5250695653799,-119.061395825375,0.16,0,13,0,"sand"
"379","Mahogany Creek","riffle",41.5251055716736,-119.061396968675,0.11,0,10,2,"sand"
"380","Mahogany Creek","run",41.5251244339938,-119.061349627322,0.2,0,17,0,"sand"
"381","Mahogany Creek","riffle",41.5251713749321,-119.06124325208,0.13,0,17,1.5,"sand"
"382","Mahogany Creek","run",41.5251810208408,-119.061207603098,0.14,0,13,0,"sand"
"383","Mahogany Creek","riffle",41.5252080255637,-119.061208460497,0.09,0,33,0.5,"sand"
"384","Mahogany Creek","run",41.5252084551143,-119.061184503962,0.2,0,11,0,"sand"
"385","Mahogany Creek","riffle",41.5253042693203,-119.060863948214,0.12,0,15,0,"sand"
"386","Mahogany Creek","run",41.5253370543646,-119.061044765629,0.12,0,10,0,"sand"
"387","Mahogany Creek","mid-channel",41.5253651328751,-119.060985731477,0.18,0,5,0,"sand"
"388","Mahogany Creek","riffle",41.525365991881,-119.060937818284,0.1,0,11,0,"sand"
"389","Mahogany Creek","run",41.5253572050537,-119.060925554223,0.2,0,3,0,"sand"
"390","Mahogany Creek","riffle",41.5253422082458,-119.060757286573,0.17,0,8,0,"sand"
"391","Mahogany Creek","scour_pool",41.5253428524305,-119.060721351686,0.18,0,3,0,"sand"
"392","Mahogany Creek","run",41.5253077050174,-119.060672295593,0.24,0,7,0,"sand"
"393","Mahogany Creek","mid-channel",41.5252734164353,-119.060575326417,0.23,0,4,0,"sand"
"394","Mahogany Creek","mid-channel",41.5093414983616,-118.955321416551,0.11,0,91,0.88,"sand"
"395","Mahogany Creek","mid-channel",41.5094767348013,-118.955313505014,0.09,1,87,1.55,"sand"
"396","Mahogany Creek","rapid",41.5094227216993,-118.955311879177,0.06,4,53,17,"sand"
"397","Mahogany Creek","scour_pool",41.5093259381152,-118.955177161195,0.08,0,77,0.84,"sand"
"398","Mahogany Creek","rapid",41.5092725360085,-118.955139607155,0.07,2,73,3.5,"sand"
"399","Mahogany Creek","mid-channel",41.5093731893282,-118.955046778562,0.06,0,62,0.8,"sand"
"400","Mahogany Creek","rapid",41.5093394207239,-118.954913957481,0.06,0,88,3,"sand"
"401","Mahogany Creek","run",41.5092575864741,-118.954959423667,0.07,1,84,2.1,"sand"
"402","Mahogany Creek","rapid",41.5092753871987,-118.954971941622,0.06,1,89,0,"sand"
"403","Mahogany Creek","mid-channel",41.5092504170543,-118.95485136779,0.07,1,94,1.7,"sand"
"404","Mahogany Creek","riffle",41.5092858148884,-118.954888379759,0.04,5,83,4,"sand"
"405","Mahogany Creek","mid-channel",41.5092690323271,-118.954815981274,0.1,1,86,0.9,"sand"
"406","Mahogany Creek","mid-channel",41.5093236563365,-118.954781678329,0.14,1,90,0.9,"sand"
"407","Mahogany Creek","rapid",41.5092309872063,-118.954934658697,0.05,1,94,0,"sand"
"408","Mahogany Creek","rapid",41.509333065777,-118.954757996982,0.06,1,80,0,"sand"
"409","Mahogany Creek","mid-channel",41.5092710685794,-118.954696220165,0.1,0,90,0.5,"sand"
"410","Mahogany Creek","rapid",41.5092714758149,-118.954672267942,0.06,0,90,0.5,"sand"
"411","Mahogany Creek","scour_pool",41.5094631686731,-118.954522266583,0.14,0,91,1,"sand"
"412","Mahogany Creek","mid-channel",41.5093267106177,-118.954602036505,0.12,0,100,0.75,"sand"
