Flow & Stream Transects,,,,,,,,,,,,,
Date,Reach #,SO,Channel Unit and Type ,Total Width (m),Cross section width,Cross Section Depth ,Velocity,Flow,∑Flow (cms)=,Flow meter,,QAQC,Comments:
7/9/2015,MC7-817,334,FTRF2,0.9,0.09,0.02,0,0,0.00216,UNR,,,"Below 0.06 m depth, can't take flow at 60% depth. Lots of vegetation in wetted width at margins - used the main channel to do flow wetted width and measurements."
7/9/2015,MC7-817,334,FTRF2,0.9,0.09,0,0,0,0.00216,UNR,,,"Below 0.06 m depth, can't take flow at 60% depth. Lots of vegetation in wetted width at margins - used the main channel to do flow wetted width and measurements."
7/1/2015,MC3-458,167,FTRP11,0.75,0.15,0.05,0.27,0.002025,0.011175,UNR,,,"On rock. For all depths below 0.08, velocity was measured at 0.08 sensor depth due to inability to lower more. Last measurement taken more toward middle of channel due to rock affecting flow."
7/1/2015,MC3-458,167,FTRP11,0.75,0.15,0.07,0.52,0.00546,0.011175,UNR,,,"For all depths below 0.08, velocity was measured at 0.08 sensor depth due to inability to lower more. Last measurement taken more toward middle of channel due to rock affecting flow."
7/1/2015,MC3-458,167,FTRP11,0.75,0.15,0.1,0.21,0.00315,0.011175,UNR,,,"For all depths below 0.08, velocity was measured at 0.08 sensor depth due to inability to lower more. Last measurement taken more toward middle of channel due to rock affecting flow."
7/1/2015,MC3-458,167,FTRP11,0.75,0.15,0.04,0,0,0.011175,UNR,,,"For all depths below 0.08, velocity was measured at 0.08 sensor depth due to inability to lower more. Last measurement taken more toward middle of channel due to rock affecting flow."
7/1/2015,MC3-458,167,FTRP11,0.75,0.15,0.04,0.09,0.00054,0.011175,UNR,,,"For all depths below 0.08, velocity was measured at 0.08 sensor depth due to inability to lower more. Last measurement taken more toward middle of channel due to rock affecting flow."
7/15/2015,MC6-604,272,FNRN1,0.71,0.142,0.06,0.05,0.000426,0.00067876,SLPT,,,Water flow very low. Be skeptical of measurement.
7/15/2015,MC6-604,272,FNRN1,0.71,0.142,0.06,0,0,0.00067876,SLPT,,,Water flow very low. Be skeptical of measurement.
7/15/2015,MC6-604,272,FNRN1,0.71,0.142,0.06,0.003,0.00002556,0.00067876,SLPT,,,Water flow very low. Be skeptical of measurement.
7/15/2015,MC6-604,272,FNRN1,0.71,0.142,0.08,0.02,0.0002272,0.00067876,SLPT,,,Water flow very low. Be skeptical of measurement.
7/15/2015,MC6-604,272,FNRN1,0.71,0.142,0.05,0,0,0.00067876,SLPT,,,Water flow very low. Be skeptical of measurement.
7/15/2015,MC7-733,309,FTRF6,0.85,0.085,0.04,0.05,0.00017,0.0017765,UNR,,,Took a second measurement just downstream because we got so many zeros at the first location.
7/15/2015,MC7-733,309,FTRF6,0.85,0.085,0.04,0.01,0.000034,0.0017765,UNR,,,Took a second measurement just downstream because we got so many zeros at the first location.
7/15/2015,MC7-733,309,FTRF6,0.85,0.085,0.04,0.11,0.000374,0.0017765,UNR,,,Took a second measurement just downstream because we got so many zeros at the first location.
7/15/2015,MC7-733,309,FTRF6,0.85,0.085,0.04,0.07,0.000238,0.0017765,UNR,,,Took a second measurement just downstream because we got so many zeros at the first location.
7/15/2015,MC7-733,309,FTRF6,0.85,0.085,0.03,0.05,0.0001275,0.0017765,UNR,,,Took a second measurement just downstream because we got so many zeros at the first location.
7/15/2015,MC7-733,309,FTRF6,0.85,0.085,0.04,0.03,0.000102,0.0017765,UNR,,,Took a second measurement just downstream because we got so many zeros at the first location.
7/15/2015,MC7-733,309,FTRF6,0.85,0.085,0.04,0.13,0.000442,0.0017765,UNR,,,Took a second measurement just downstream because we got so many zeros at the first location.
7/15/2015,MC7-733,309,FTRF6,0.85,0.085,0.03,0.1,0.000255,0.0017765,UNR,,,Took a second measurement just downstream because we got so many zeros at the first location.
7/15/2015,MC7-733,309,FTRF6,0.85,0.085,0.04,0.01,0.000034,0.0017765,UNR,,,Took a second measurement just downstream because we got so many zeros at the first location.
7/15/2015,MC7-733,309,FTRF6,0.85,0.085,0,0,0,0.0017765,UNR,,,Took a second measurement just downstream because we got so many zeros at the first location.
7/15/2015,MC7-733,309,FTRF6,0.92,0.092,0,0,0,0.0014168,UNR,,,Took a second measurement just downstream because we got so many zeros at the first location.
7/15/2015,MC7-733,309,FTRF6,0.92,0.092,0.03,0,0,0.0014168,UNR,,,Took a second measurement just downstream because we got so many zeros at the first location.
7/15/2015,MC7-733,309,FTRF6,0.92,0.092,0.04,0.03,0.0001104,0.0014168,UNR,,,Took a second measurement just downstream because we got so many zeros at the first location.
7/15/2015,MC7-733,309,FTRF6,0.92,0.092,0.04,0.07,0.0002576,0.0014168,UNR,,,Took a second measurement just downstream because we got so many zeros at the first location.
7/15/2015,MC7-733,309,FTRF6,0.92,0.092,0.02,0,0,0.0014168,UNR,,,Took a second measurement just downstream because we got so many zeros at the first location.
7/15/2015,MC7-733,309,FTRF6,0.92,0.092,0.04,0,0,0.0014168,UNR,,,Took a second measurement just downstream because we got so many zeros at the first location.
7/15/2015,MC7-733,309,FTRF6,0.92,0.092,0.04,0.13,0.0004784,0.0014168,UNR,,,Took a second measurement just downstream because we got so many zeros at the first location.
7/15/2015,MC7-733,309,FTRF6,0.92,0.092,0.04,0.12,0.0004416,0.0014168,UNR,,,Took a second measurement just downstream because we got so many zeros at the first location.
7/15/2015,MC7-733,309,FTRF6,0.92,0.092,0.04,0.03,0.0001104,0.0014168,UNR,,,Took a second measurement just downstream because we got so many zeros at the first location.
7/15/2015,MC7-733,309,FTRF6,0.92,0.092,0.02,0.01,0.0000184,0.0014168,UNR,,,Took a second measurement just downstream because we got so many zeros at the first location.
7/2/2015,MC4-15-1,190,FTRF6,0.95,0.095,0.08,0.07,0.000532,0.0082365,UNR,,,
7/2/2015,MC4-15-1,190,FTRF6,0.95,0.095,0.08,0.2,0.00152,0.0082365,UNR,,,
7/2/2015,MC4-15-1,190,FTRF6,0.95,0.095,0.04,0.13,0.000494,0.0082365,UNR,,,
7/2/2015,MC4-15-1,190,FTRF6,0.95,0.095,0.08,0.32,0.002432,0.0082365,UNR,,,
7/2/2015,MC4-15-1,190,FTRF6,0.95,0.095,0.08,0.18,0.001368,0.0082365,UNR,,,
7/2/2015,MC4-15-1,190,FTRF6,0.95,0.095,0.08,0.12,0.000912,0.0082365,UNR,,,
7/2/2015,MC4-15-1,190,FTRF6,0.95,0.095,0.08,0.08,0.000608,0.0082365,UNR,,,
7/2/2015,MC4-15-1,190,FTRF6,0.95,0.095,0.04,0.03,0.000114,0.0082365,UNR,,,
7/2/2015,MC4-15-1,190,FTRF6,0.95,0.095,0.03,0.09,0.0002565,0.0082365,UNR,,,
7/2/2015,MC4-15-1,190,FTRF6,0.95,0.095,0.02,0,0,0.0082365,UNR,,,Too shallow for reading.
7/16/2015,MC8-15-3,402,FTRF8,0.61,0.122,0,0,0,0.0025742,SLPT,,,
7/16/2015,MC8-15-3,402,FTRF8,0.61,0.122,0.06,0.19,0.0013908,0.0025742,SLPT,,,
7/16/2015,MC8-15-3,402,FTRF8,0.61,0.122,0.08,0.11,0.0010736,0.0025742,SLPT,,,
7/16/2015,MC8-15-3,402,FTRF8,0.61,0.122,0.03,0.03,0.0001098,0.0025742,SLPT,,,
7/16/2015,MC8-15-3,402,FTRF8,0.61,0.122,0,0,0,0.0025742,SLPT,,,
7/28/2015,MC7-787,462,FTRP1,1.14,0.114,0,0,0,0.0111834,SLPT,,,Water very shallow. Hard to find any place deep enough for flow meter.
